review_text,rating
"Average quality, not bad not great.",3
"Terrible product, do not buy!",2
"Exceeded my expectations, would buy again.",5
It broke after just one use.,2
Amazing quality and super fast delivery.,4
"Great product, works like a charm.",5
Product is exactly as described. Very satisfied.,5
It broke after just one use.,1
"Neither good nor bad, just okay.",3
Amazing quality and super fast delivery.,4
"Great product, works like a charm.",5
"Completely useless, waste of time.",1
"It's okay, does the job but nothing special.",3
"Neither good nor bad, just okay.",3
Amazing quality and super fast delivery.,4
"Terrible product, do not buy!",2
Not worth the money at all.,2
"Completely useless, waste of time.",2
Mediocre experience overall.,3
"Average quality, not bad not great.",3
Amazing quality and super fast delivery.,4
Absolutely loved it! Highly recommended.,5
"Delivery was fine, product is usable.",3
Very disappointed with the quality.,2
Very disappointed with the quality.,2
"It's okay, does the job but nothing special.",3
"Neither good nor bad, just okay.",3
Absolutely loved it! Highly recommended.,5
"Great product, works like a charm.",4
Amazing quality and super fast delivery.,5
"Great product, works like a charm.",5
"Terrible product, do not buy!",2
Not worth the money at all.,1
"Completely useless, waste of time.",2
"Average quality, not bad not great.",3
Amazing quality and super fast delivery.,5
"Completely useless, waste of time.",1
"Completely useless, waste of time.",1
"Terrible product, do not buy!",2
Amazing quality and super fast delivery.,4
"Great product, works like a charm.",5
Very disappointed with the quality.,2
"Completely useless, waste of time.",1
"Great product, works like a charm.",4
It broke after just one use.,1
"Exceeded my expectations, would buy again.",5
"Terrible product, do not buy!",1
"Exceeded my expectations, would buy again.",4
"Terrible product, do not buy!",1
"Delivery was fine, product is usable.",3
"Completely useless, waste of time.",1
Absolutely loved it! Highly recommended.,4
"Great product, works like a charm.",4
"Completely useless, waste of time.",2
"Delivery was fine, product is usable.",3
Amazing quality and super fast delivery.,5
"Exceeded my expectations, would buy again.",5
"Terrible product, do not buy!",1
"Great product, works like a charm.",4
"Neither good nor bad, just okay.",3
"Exceeded my expectations, would buy again.",5
It broke after just one use.,1
Absolutely loved it! Highly recommended.,4
"Terrible product, do not buy!",1
"Delivery was fine, product is usable.",3
"Average quality, not bad not great.",3
"Exceeded my expectations, would buy again.",4
"Completely useless, waste of time.",1
Product is exactly as described. Very satisfied.,4
"Terrible product, do not buy!",2
"Great product, works like a charm.",4
Very disappointed with the quality.,1
"Completely useless, waste of time.",1
It broke after just one use.,2
"Great product, works like a charm.",4
It broke after just one use.,2
"Great product, works like a charm.",5
Product is exactly as described. Very satisfied.,5
Very disappointed with the quality.,2
Mediocre experience overall.,3
Not worth the money at all.,1
"It's okay, does the job but nothing special.",3
Absolutely loved it! Highly recommended.,4
Product is exactly as described. Very satisfied.,4
Amazing quality and super fast delivery.,5
Absolutely loved it! Highly recommended.,5
Not worth the money at all.,2
Not worth the money at all.,2
"Neither good nor bad, just okay.",3
"Great product, works like a charm.",5
Not worth the money at all.,2
Not worth the money at all.,1
"Delivery was fine, product is usable.",3
Absolutely loved it! Highly recommended.,4
"Completely useless, waste of time.",2
"Neither good nor bad, just okay.",3
Not worth the money at all.,2
Absolutely loved it! Highly recommended.,5
"Exceeded my expectations, would buy again.",4
It broke after just one use.,2
Very disappointed with the quality.,1
"Great product, works like a charm.",4
Not worth the money at all.,2
Very disappointed with the quality.,2
Very disappointed with the quality.,2
"Terrible product, do not buy!",2
Amazing quality and super fast delivery.,4
"Neither good nor bad, just okay.",3
"Neither good nor bad, just okay.",3
Product is exactly as described. Very satisfied.,4
Mediocre experience overall.,3
Very disappointed with the quality.,2
"Terrible product, do not buy!",1
"Delivery was fine, product is usable.",3
"It's okay, does the job but nothing special.",3
"Neither good nor bad, just okay.",3
"Great product, works like a charm.",4
Not worth the money at all.,1
"Great product, works like a charm.",5
Very disappointed with the quality.,1
It broke after just one use.,1
Amazing quality and super fast delivery.,4
Absolutely loved it! Highly recommended.,4
Product is exactly as described. Very satisfied.,5
It broke after just one use.,1
Mediocre experience overall.,3
"Completely useless, waste of time.",2
"It's okay, does the job but nothing special.",3
Not worth the money at all.,1
"Completely useless, waste of time.",2
"Terrible product, do not buy!",2
It broke after just one use.,2
Not worth the money at all.,1
Mediocre experience overall.,3
Mediocre experience overall.,3
Very disappointed with the quality.,1
"It's okay, does the job but nothing special.",3
Amazing quality and super fast delivery.,4
Very disappointed with the quality.,1
Amazing quality and super fast delivery.,4
"Terrible product, do not buy!",1
"Great product, works like a charm.",5
"Average quality, not bad not great.",3
Mediocre experience overall.,3
"Terrible product, do not buy!",2
"Terrible product, do not buy!",2
Very disappointed with the quality.,1
"Great product, works like a charm.",4
"Exceeded my expectations, would buy again.",5
"Completely useless, waste of time.",2
Very disappointed with the quality.,2
Amazing quality and super fast delivery.,5
Product is exactly as described. Very satisfied.,5
"Completely useless, waste of time.",1
"Terrible product, do not buy!",1
Mediocre experience overall.,3
"It's okay, does the job but nothing special.",3
"Exceeded my expectations, would buy again.",5
"Average quality, not bad not great.",3
"Exceeded my expectations, would buy again.",4
It broke after just one use.,1
"It's okay, does the job but nothing special.",3
"It's okay, does the job but nothing special.",3
Not worth the money at all.,1
"Exceeded my expectations, would buy again.",5
Product is exactly as described. Very satisfied.,4
"Completely useless, waste of time.",1
"Great product, works like a charm.",4
Very disappointed with the quality.,2
Amazing quality and super fast delivery.,4
"Exceeded my expectations, would buy again.",4
Not worth the money at all.,1
"Delivery was fine, product is usable.",3
"Completely useless, waste of time.",2
"Exceeded my expectations, would buy again.",5
Mediocre experience overall.,3
"Neither good nor bad, just okay.",3
Amazing quality and super fast delivery.,5
Absolutely loved it! Highly recommended.,5
Not worth the money at all.,1
"Delivery was fine, product is usable.",3
"Completely useless, waste of time.",1
Mediocre experience overall.,3
It broke after just one use.,1
Amazing quality and super fast delivery.,5
"Exceeded my expectations, would buy again.",4
Not worth the money at all.,2
Absolutely loved it! Highly recommended.,4
"Neither good nor bad, just okay.",3
Product is exactly as described. Very satisfied.,5
"Terrible product, do not buy!",1
Not worth the money at all.,2
"Completely useless, waste of time.",1
"Neither good nor bad, just okay.",3
Absolutely loved it! Highly recommended.,4
It broke after just one use.,1
"Completely useless, waste of time.",1
Amazing quality and super fast delivery.,5
"Terrible product, do not buy!",2
"Delivery was fine, product is usable.",3
Product is exactly as described. Very satisfied.,5
"Exceeded my expectations, would buy again.",4
"Terrible product, do not buy!",2
Very disappointed with the quality.,2
"Exceeded my expectations, would buy again.",4
Product is exactly as described. Very satisfied.,5
Amazing quality and super fast delivery.,4
"Completely useless, waste of time.",1
Amazing quality and super fast delivery.,5
"Delivery was fine, product is usable.",3
"Completely useless, waste of time.",2
Amazing quality and super fast delivery.,4
Not worth the money at all.,2
"Great product, works like a charm.",5
"Great product, works like a charm.",5
Amazing quality and super fast delivery.,5
"Exceeded my expectations, would buy again.",4
It broke after just one use.,1
"Terrible product, do not buy!",2
Mediocre experience overall.,3
Amazing quality and super fast delivery.,5
Absolutely loved it! Highly recommended.,4
Very disappointed with the quality.,1
Very disappointed with the quality.,2
Absolutely loved it! Highly recommended.,5
Product is exactly as described. Very satisfied.,5
"Completely useless, waste of time.",1
Product is exactly as described. Very satisfied.,4
"Average quality, not bad not great.",3
It broke after just one use.,2
Very disappointed with the quality.,1
"Delivery was fine, product is usable.",3
"Great product, works like a charm.",5
"Terrible product, do not buy!",2
Very disappointed with the quality.,1
"It's okay, does the job but nothing special.",3
"Completely useless, waste of time.",2
Absolutely loved it! Highly recommended.,4
"Average quality, not bad not great.",3
"Great product, works like a charm.",5
"Completely useless, waste of time.",1
Product is exactly as described. Very satisfied.,4
Amazing quality and super fast delivery.,5
"Completely useless, waste of time.",1
Absolutely loved it! Highly recommended.,4
"Average quality, not bad not great.",3
"Terrible product, do not buy!",1
Absolutely loved it! Highly recommended.,4
"Delivery was fine, product is usable.",3
Not worth the money at all.,2
Very disappointed with the quality.,1
Very disappointed with the quality.,1
Not worth the money at all.,2
Amazing quality and super fast delivery.,5
"Completely useless, waste of time.",1
It broke after just one use.,1
Absolutely loved it! Highly recommended.,5
Very disappointed with the quality.,1
Not worth the money at all.,1
"Terrible product, do not buy!",1
Mediocre experience overall.,3
"Delivery was fine, product is usable.",3
"Great product, works like a charm.",4
"Great product, works like a charm.",4
It broke after just one use.,2
"It's okay, does the job but nothing special.",3
Mediocre experience overall.,3
Product is exactly as described. Very satisfied.,4
"Neither good nor bad, just okay.",3
"Delivery was fine, product is usable.",3
Mediocre experience overall.,3
It broke after just one use.,1
"Completely useless, waste of time.",2
Not worth the money at all.,1
Not worth the money at all.,2
Very disappointed with the quality.,1
"Completely useless, waste of time.",2
Very disappointed with the quality.,2
It broke after just one use.,1
"Great product, works like a charm.",4
"Exceeded my expectations, would buy again.",5
Very disappointed with the quality.,1
"Great product, works like a charm.",4
"Terrible product, do not buy!",2
"Completely useless, waste of time.",2
Amazing quality and super fast delivery.,4
"Exceeded my expectations, would buy again.",5
Not worth the money at all.,1
"It's okay, does the job but nothing special.",3
Not worth the money at all.,1
Mediocre experience overall.,3
It broke after just one use.,2
"Exceeded my expectations, would buy again.",5
It broke after just one use.,1
"Exceeded my expectations, would buy again.",5
"Delivery was fine, product is usable.",3
"Completely useless, waste of time.",1
"Great product, works like a charm.",4
"Neither good nor bad, just okay.",3
"Great product, works like a charm.",4
Absolutely loved it! Highly recommended.,4
It broke after just one use.,2
"Delivery was fine, product is usable.",3
"Completely useless, waste of time.",1
"Delivery was fine, product is usable.",3
Mediocre experience overall.,3
"Completely useless, waste of time.",1
Product is exactly as described. Very satisfied.,5
"Terrible product, do not buy!",2
Product is exactly as described. Very satisfied.,5
"Great product, works like a charm.",4
Product is exactly as described. Very satisfied.,4
"Average quality, not bad not great.",3
Very disappointed with the quality.,1
"It's okay, does the job but nothing special.",3
It broke after just one use.,1
Not worth the money at all.,2
Product is exactly as described. Very satisfied.,4
Very disappointed with the quality.,1
Mediocre experience overall.,3
"Completely useless, waste of time.",1
It broke after just one use.,2
"Exceeded my expectations, would buy again.",4
Very disappointed with the quality.,2
Very disappointed with the quality.,1
Product is exactly as described. Very satisfied.,5
Amazing quality and super fast delivery.,5
"It's okay, does the job but nothing special.",3
Mediocre experience overall.,3
Amazing quality and super fast delivery.,5
It broke after just one use.,1
"Average quality, not bad not great.",3
"Completely useless, waste of time.",2
"Average quality, not bad not great.",3
"Great product, works like a charm.",4
Very disappointed with the quality.,1
Not worth the money at all.,2
"Neither good nor bad, just okay.",3
"Exceeded my expectations, would buy again.",4
Not worth the money at all.,1
"Terrible product, do not buy!",1
"Great product, works like a charm.",4
Product is exactly as described. Very satisfied.,5
Amazing quality and super fast delivery.,5
Amazing quality and super fast delivery.,5
It broke after just one use.,1
"Great product, works like a charm.",5
"Terrible product, do not buy!",1
Mediocre experience overall.,3
"It's okay, does the job but nothing special.",3
Absolutely loved it! Highly recommended.,5
Not worth the money at all.,2
"Neither good nor bad, just okay.",3
Amazing quality and super fast delivery.,4
Very disappointed with the quality.,1
"Neither good nor bad, just okay.",3
"It's okay, does the job but nothing special.",3
Amazing quality and super fast delivery.,5
Very disappointed with the quality.,1
"It's okay, does the job but nothing special.",3
Not worth the money at all.,2
Very disappointed with the quality.,1
Not worth the money at all.,1
"Great product, works like a charm.",5
"Exceeded my expectations, would buy again.",4
"Exceeded my expectations, would buy again.",4
"Great product, works like a charm.",4
"Terrible product, do not buy!",1
Product is exactly as described. Very satisfied.,4
Amazing quality and super fast delivery.,5
Absolutely loved it! Highly recommended.,5
Product is exactly as described. Very satisfied.,5
Product is exactly as described. Very satisfied.,4
"Great product, works like a charm.",4
Mediocre experience overall.,3
Product is exactly as described. Very satisfied.,5
"Terrible product, do not buy!",2
Very disappointed with the quality.,1
Absolutely loved it! Highly recommended.,5
Absolutely loved it! Highly recommended.,5
Very disappointed with the quality.,1
It broke after just one use.,2
Amazing quality and super fast delivery.,4
Amazing quality and super fast delivery.,4
Not worth the money at all.,1
"Average quality, not bad not great.",3
"Completely useless, waste of time.",2
Product is exactly as described. Very satisfied.,5
Amazing quality and super fast delivery.,4
"Average quality, not bad not great.",3
Product is exactly as described. Very satisfied.,4
"Terrible product, do not buy!",2
Not worth the money at all.,2
Amazing quality and super fast delivery.,4
It broke after just one use.,2
"Completely useless, waste of time.",1
"Great product, works like a charm.",4
It broke after just one use.,1
"It's okay, does the job but nothing special.",3
"Great product, works like a charm.",5
"Great product, works like a charm.",5
Absolutely loved it! Highly recommended.,5
"Exceeded my expectations, would buy again.",5
"Exceeded my expectations, would buy again.",4
Very disappointed with the quality.,1
Product is exactly as described. Very satisfied.,5
"Exceeded my expectations, would buy again.",5
It broke after just one use.,2
Not worth the money at all.,1
"Exceeded my expectations, would buy again.",4
"Exceeded my expectations, would buy again.",4
"Exceeded my expectations, would buy again.",5
"Terrible product, do not buy!",2
"It's okay, does the job but nothing special.",3
Amazing quality and super fast delivery.,5
"Exceeded my expectations, would buy again.",4
Absolutely loved it! Highly recommended.,4
"Great product, works like a charm.",5
Absolutely loved it! Highly recommended.,4
"Completely useless, waste of time.",1
"Average quality, not bad not great.",3
Product is exactly as described. Very satisfied.,4
It broke after just one use.,1
"Completely useless, waste of time.",1
"Average quality, not bad not great.",3
"Completely useless, waste of time.",2
It broke after just one use.,1
"It's okay, does the job but nothing special.",3
"Delivery was fine, product is usable.",3
"Neither good nor bad, just okay.",3
"Neither good nor bad, just okay.",3
"Great product, works like a charm.",5
"Average quality, not bad not great.",3
Product is exactly as described. Very satisfied.,5
Product is exactly as described. Very satisfied.,4
Absolutely loved it! Highly recommended.,5
"Average quality, not bad not great.",3
Very disappointed with the quality.,1
"Neither good nor bad, just okay.",3
"Terrible product, do not buy!",2
"Neither good nor bad, just okay.",3
Very disappointed with the quality.,2
"Delivery was fine, product is usable.",3
It broke after just one use.,2
Not worth the money at all.,1
"Neither good nor bad, just okay.",3
Not worth the money at all.,1
Very disappointed with the quality.,2
Amazing quality and super fast delivery.,4
"Exceeded my expectations, would buy again.",5
Very disappointed with the quality.,2
Very disappointed with the quality.,2
Very disappointed with the quality.,1
Absolutely loved it! Highly recommended.,5
Absolutely loved it! Highly recommended.,4
Very disappointed with the quality.,1
It broke after just one use.,1
Very disappointed with the quality.,1
Mediocre experience overall.,3
Absolutely loved it! Highly recommended.,5
"Completely useless, waste of time.",2
Amazing quality and super fast delivery.,4
Product is exactly as described. Very satisfied.,4
It broke after just one use.,2
"Great product, works like a charm.",5
Very disappointed with the quality.,1
"Exceeded my expectations, would buy again.",4
"Great product, works like a charm.",5
"Great product, works like a charm.",4
Amazing quality and super fast delivery.,4
Product is exactly as described. Very satisfied.,4
"Terrible product, do not buy!",1
"Delivery was fine, product is usable.",3
"It's okay, does the job but nothing special.",3
Product is exactly as described. Very satisfied.,4
"Exceeded my expectations, would buy again.",5
Very disappointed with the quality.,2
"Average quality, not bad not great.",3
Not worth the money at all.,2
"Average quality, not bad not great.",3
Amazing quality and super fast delivery.,5
Product is exactly as described. Very satisfied.,5
Amazing quality and super fast delivery.,4
Very disappointed with the quality.,2
Very disappointed with the quality.,1
Amazing quality and super fast delivery.,5
Product is exactly as described. Very satisfied.,5
"Completely useless, waste of time.",2
Not worth the money at all.,1
"Delivery was fine, product is usable.",3
"It's okay, does the job but nothing special.",3
"Delivery was fine, product is usable.",3
Not worth the money at all.,1
Product is exactly as described. Very satisfied.,4
Product is exactly as described. Very satisfied.,4
"Exceeded my expectations, would buy again.",5
Amazing quality and super fast delivery.,4
It broke after just one use.,1
"Exceeded my expectations, would buy again.",4
Very disappointed with the quality.,1
"Exceeded my expectations, would buy again.",4
"Completely useless, waste of time.",1
It broke after just one use.,1
Product is exactly as described. Very satisfied.,4
It broke after just one use.,1
Product is exactly as described. Very satisfied.,5
Not worth the money at all.,2
"Average quality, not bad not great.",3
Absolutely loved it! Highly recommended.,5
"Great product, works like a charm.",5
Very disappointed with the quality.,2
"Completely useless, waste of time.",1
"Great product, works like a charm.",4
Very disappointed with the quality.,2
Amazing quality and super fast delivery.,4
"Exceeded my expectations, would buy again.",4
"Great product, works like a charm.",5
Very disappointed with the quality.,2
Absolutely loved it! Highly recommended.,5
"Neither good nor bad, just okay.",3
"Delivery was fine, product is usable.",3
Not worth the money at all.,2
"Completely useless, waste of time.",2
Product is exactly as described. Very satisfied.,4
Not worth the money at all.,2
"Average quality, not bad not great.",3
Very disappointed with the quality.,1
